Date_Time	Data_Type	Process	 Fat	 SNF	Density	  Water	LTC	GSS		 
090623074423	D	MS	 3.26	 8.24	28.78	  2	27109	4
090623074545	D	MS	 3.61	 8.14	28.09	  3	27119	4
090623074806	D	MS	 3.65	 8.11	27.93	  4	27108	4
090623074857	D	MS	 4.05	 8.20	27.96	  3	27284	4
090623075300	D	MS	 3.97	 8.27	28.31	  2	27174	4
090623075706	D	MS	 3.08	 8.37	29.45	  1	27138	4
090623075812	D	MS	 4.36	 8.55	29.10	  0	27093	4
090623075952	D	MS	 4.79	 8.50	28.54	  0	27142	4
090623080103	D	MS	 3.62	 8.25	28.52	  2	27152	4
090623080258	D	MS	 3.90	 8.47	29.16	  0	27193	4
090623080413	D	MS	 4.79	 8.42	28.22	  1	27153	4
090623080539	D	MS	 3.73	 8.23	28.35	  2	27144	4
090623081139	D	MS	 4.43	 8.58	29.16	  0	27139	4
090623081307	D	MS	 4.45	 8.08	27.14	  4	27113	4
090623081648	D	MS	 3.05	 8.10	28.40	  3	27206	4
090623081828	D	MS	 3.33	 7.87	27.24	  6	27225	4
090623082048	D	MS	 4.01	 8.29	28.35	  2	27010	4
090623082147	D	MS	 4.58	 7.84	26.07	  7	27201	4
090623082317	D	MS	 3.96	 7.89	26.79	  6	27198	4
090623082502	D	MS	 4.15	 8.55	29.27	  0	27201	4
090623082743	D	MS	 3.17	 8.66	30.54	  0	27116	4
090623082837	D	MS	 5.74	 8.85	29.14	  0	27122	4
090623083200	D	MS	 2.26	 9.04	32.82	  0	27222	4
090623083302	D	MS	 2.87	 7.93	27.87	  5	26984	4
090623083413	D	MS	 3.32	 8.10	28.17	  4	27033	4
090623083711	E	MS	TOO_HIGH_FAT/SNF
090623083829	D	MS	 3.98	 8.10	27.62	  4	27212	4
090623084026	D	MS	 4.59	 8.38	28.22	  1	27236	4
090623085023	D	MS	 3.30	 7.76	26.83	  7	27013	4
090623085204	D	MS	 3.30	 7.74	26.75	  7	27116	4
090623085313	D	MS	 5.11	 7.84	25.63	  7	27021	4
090623085426	D	MS	 4.16	 9.05	31.27	  0	27224	4
090623085540	D	MS	 3.81	 8.64	29.92	  0	27215	4
090623085631	D	MS	 3.50	 8.48	29.54	  0	27291	4
090623085739	D	MS	 3.94	 8.26	28.29	  2	27025	4
090623090118	D	MS	 3.64	 8.21	28.34	  2	27170	4
090623090741	D	CLN	 0.42	 1.84	 5.57	 73	26870	3
090623091246	C	25
090623092323	D	CLN	 0.00	 3.43	12.28	 54	26856	3
090623092829	C	25
090623094054	D	MS	 0.00	 0.00	 0.00	100	27142	3
090623155217	D	MS	 5.46	 8.25	26.97	  3	27076	4
090623155515	D	MS	 5.59	 8.74	28.82	  0	27214	4
090623155623	D	MS	 5.82	 8.75	28.67	  0	27266	4
090623155733	D	MS	 4.32	 8.60	29.33	  0	27272	4
090623155903	D	MS	 5.42	 8.20	26.81	  3	27213	4
090623160006	D	MS	 3.75	 9.06	31.65	  0	27241	4
090623160058	D	MS	 7.98	 8.62	26.34	  0	27168	4
090623160148	D	MS	 4.63	 8.42	28.35	  1	27220	4
090623160319	D	MS	 6.37	 8.63	27.73	  0	27221	4
090623160409	D	MS	 4.55	 8.64	29.30	  0	27323	4
090623160805	D	MS	 5.82	 9.02	29.75	  0	27188	4
090623160906	D	MS	 5.55	 8.76	28.94	  0	27315	4
090623161031	D	MS	 5.74	 8.94	29.50	  0	27327	4
090623161316	D	MS	 5.25	 8.62	28.63	  0	27183	4
090623161436	D	MS	 4.51	 8.73	29.69	  0	27205	4
090623161547	D	MS	 3.02	 8.69	30.78	  0	27231	4
090623161654	D	MS	 5.19	 8.41	27.84	  1	27246	4
090623161744	D	MS	 6.52	 7.74	24.04	  8	27300	4
090623161922	D	MS	 3.14	 8.14	28.48	  3	27260	4
090623162039	D	MS	 3.05	 8.66	30.64	  0	27179	4
090623162156	D	MS	 4.07	 8.45	28.94	  0	27255	4
090623162452	D	MS	 5.13	 8.70	29.05	  0	27228	4
090623162613	D	MS	 4.17	 8.38	28.58	  1	27165	4
090623163031	D	MS	 5.91	 8.61	28.04	  0	27197	4
090623163234	D	MS	 4.73	 7.76	25.63	  8	27138	4
090623163338	D	MS	 3.79	 8.00	27.38	  5	27283	4
090623163429	D	MS	 5.51	 8.78	29.05	  0	27307	4
090623163517	D	MS	 5.48	 8.85	29.36	  0	27386	4
090623163610	D	MS	 3.26	 7.88	27.34	  6	27379	4
090623163733	D	MS	 5.23	 8.43	27.89	  1	27220	4
090623163847	D	MS	 5.63	 8.92	29.51	  0	27170	4
090623163941	D	MS	 4.90	 8.58	28.76	  0	27305	4
090623164028	D	MS	 6.61	 8.24	25.97	  3	27398	4
090623164121	D	MS	 5.21	 8.31	27.42	  2	27324	4
090623164312	D	MS	 5.12	 8.42	27.94	  1	27199	4
090623164414	D	MS	 4.82	 9.13	31.03	  0	27299	4
090623164517	D	MS	 5.68	 8.97	29.67	  0	27182	4
090623164636	D	MS	 3.85	 6.78	22.45	 18	27170	4
090623164748	D	MS	 4.91	 8.15	27.04	  4	27227	4
090623164836	D	MS	 5.18	 8.28	27.33	  2	27383	4
090623165010	D	MS	 6.06	 8.48	27.39	  0	27242	4
090623165134	D	MS	 5.81	 8.46	27.52	  1	27280	4
090623165252	D	MS	 3.30	 8.90	31.39	  0	27313	4
090623165347	D	MS	 3.84	 8.41	28.97	  0	27377	4
090623165443	D	MS	 5.46	 8.74	28.93	  0	27362	4
090623165641	D	MS	 4.60	 8.39	28.26	  1	27262	4
090623165806	D	MS	 5.73	 8.35	27.15	  2	27263	4
090623165906	D	MS	 4.59	 8.80	29.90	  0	27329	4
090623170027	D	MS	 3.66	 8.26	28.53	  2	27300	4
090623170120	D	MS	 5.36	 8.74	29.02	  0	27329	4
090623170209	D	MS	 3.97	 8.33	28.55	  1	27368	4
090623170301	D	MS	 4.70	 8.12	27.09	  4	27354	4
090623170407	D	MS	 3.88	 8.35	28.70	  1	27311	4
090623170508	D	MS	 4.92	 8.58	28.75	  0	27328	4
090623170633	D	MS	 4.22	 8.40	28.62	  1	27308	4
090623170929	D	MS	 4.67	 8.24	27.60	  2	27247	4
090623171029	D	MS	 5.09	 8.35	27.68	  1	27250	4
090623171128	D	MS	 6.69	 8.90	28.54	  0	27227	4
090623171225	D	MS	 5.74	 8.38	27.26	  1	27263	4
090623171335	D	MS	 5.52	 9.11	30.36	  0	27168	4
090623171555	D	MS	 4.89	 7.68	25.17	  8	27152	4
090623171723	D	MS	 4.68	 8.40	28.23	  1	27210	4
090623171832	D	MS	 4.12	 7.85	26.50	  6	27209	4
090623172040	D	MS	 5.02	 8.43	28.06	  1	27203	4
090623172214	D	MS	 5.00	 8.40	27.96	  1	27258	4
090623172350	D	MS	 3.94	 7.93	26.97	  6	27279	4
090623172548	D	MS	 5.93	 8.31	26.82	  2	27079	4
090623172707	D	MS	 5.72	 8.36	27.20	  2	27180	4
090623172921	D	MS	 6.24	 8.56	27.56	  0	27037	4
090623173013	D	MS	 5.63	 8.38	27.35	  1	27183	4
090623173100	D	MS	 4.80	 8.36	27.97	  1	27357	4
090623173213	D	MS	 6.97	 8.56	26.95	  0	27276	4
090623175135	D	MS	 0.00	 0.00	 0.00	100	26901	3
090623175322	D	CLN	 0.16	 1.67	 5.11	 75	26908	3
090623175827	C	25
090623180136	D	CLN	 0.00	 4.19	15.32	 45	26943	3
090623180641	C	25
100623072513	D	MS	 4.19	 8.52	29.12	  0	26967	4
100623072658	D	MS	 4.19	 8.51	29.08	  0	27039	4
100623072959	D	MS	 3.72	 8.61	29.88	  0	26963	4
100623073219	D	MS	 3.14	 8.38	29.44	  0	27078	4
100623073409	D	MS	 6.81	 8.84	28.20	  0	27079	4
100623073527	D	MS	 5.85	 8.80	28.85	  0	27134	4
100623073736	D	MS	 5.99	 8.90	29.13	  0	27168	4
100623073827	D	MS	 3.06	 8.54	30.15	  0	27180	4
100623073927	D	MS	 3.14	 8.55	30.12	  0	27235	4
100623074037	D	MS	 4.07	 8.57	29.42	  0	27024	4
100623074315	D	MS	 4.02	 8.47	29.06	  0	27005	4
100623074741	D	MS	 2.67	 8.89	31.88	  0	27041	4
100623074908	D	MS	 3.29	 8.68	30.52	  0	27002	4
100623075108	D	MS	 3.01	 8.29	29.19	  1	27079	4
100623075257	D	MS	 4.29	 8.41	28.60	  1	27090	4
100623075413	D	MS	 4.80	 8.33	27.85	  2	27118	4
100623075535	D	MS	 5.25	 8.37	27.63	  1	27001	4
100623075634	D	MS	 3.36	 8.20	28.54	  2	27156	4
100623075740	D	MS	 4.81	 8.49	28.48	  0	27032	4
100623075850	D	MS	 3.88	 8.63	29.82	  0	27085	4
100623075945	D	MS	 3.23	 7.48	25.77	 10	27017	4
100623080104	D	MS	 4.00	 8.35	28.60	  1	27068	4
100623080241	D	MS	 4.22	 8.76	30.06	  0	27211	4
100623080412	D	MS	 3.57	 8.34	28.92	  1	27260	4
100623080542	D	MS	 4.60	 8.72	29.58	  0	27119	4
100623080802	D	MS	 5.79	 8.89	29.26	  0	27129	4
100623080917	D	MS	 3.85	 7.89	26.89	  6	27041	4
100623081739	D	MS	 3.52	 8.20	28.40	  3	27081	4
100623081933	D	MS	 4.45	 8.56	29.06	  0	27157	4
100623082044	D	MS	 3.37	 8.34	29.09	  1	27024	4
100623082143	D	MS	 4.43	 8.69	29.60	  0	27028	4
100623082235	D	MS	 4.53	 8.71	29.59	  0	27079	4
100623082326	D	MS	 3.18	 8.24	28.85	  2	27185	4
100623082420	D	MS	 3.47	 8.37	29.13	  1	27226	4
100623082510	D	MS	 3.53	 8.45	29.39	  0	27145	4
100623082603	D	MS	 3.54	 8.28	28.71	  2	27124	4
100623082714	D	MS	 3.63	 8.39	29.07	  1	27089	4
100623082832	D	MS	 4.00	 8.38	28.72	  1	27079	4
100623082930	D	MS	 4.39	 8.44	28.63	  0	27169	4
100623083036	D	MS	 3.31	 8.49	29.74	  0	27172	4
100623083128	D	MS	 3.01	 8.99	31.99	  0	27077	4
100623083250	D	MS	 3.36	 8.17	28.42	  3	27170	4
100623083528	D	MS	 3.42	 8.21	28.53	  2	27148	4
100623083617	D	MS	 4.26	 9.04	31.14	  0	27287	4
100623083729	D	MS	 3.79	 8.32	28.66	  1	27151	4
100623083830	D	MS	 3.35	 8.34	29.11	  1	27155	4
100623083922	D	MS	 2.75	 7.60	26.65	  9	27247	4
100623084021	D	MS	 4.00	 8.21	28.04	  3	27124	4
100623084153	D	MS	 3.77	 8.07	27.67	  4	27091	4
100623084303	D	MS	 3.65	 8.74	30.45	  0	27195	4
100623084424	D	MS	 3.31	 8.13	28.30	  3	27206	4
100623084727	D	MS	 4.21	 8.13	27.54	  3	27051	4
100623084825	D	MS	 4.55	 8.31	27.98	  2	27205	4
100623085141	D	MS	 3.40	 8.64	30.26	  0	27020	4
100623085445	D	MS	 5.43	 8.41	27.64	  1	27014	4
100623085725	D	MS	 3.52	 7.80	26.80	  7	26980	4
100623085914	D	MS	 3.56	 7.81	26.81	  7	27058	4
100623090031	D	MS	 4.27	 8.59	29.33	  0	26983	4
100623094854	D	CLN	 0.42	 1.85	 5.61	 73	26784	3
100623095359	C	25
100623100613	D	CLN	 0.00	 3.46	12.40	 54	26836	3
100623101119	C	25
100623153959	D	MS	 5.25	 8.66	28.79	  0	27158	4
100623154224	D	MS	 5.32	 8.68	28.81	  0	27212	4
100623154354	D	MS	 4.13	 8.95	30.89	  0	27154	4
100623154526	D	MS	 7.64	 8.25	25.14	  3	27077	4
100623155420	D	MS	 6.60	 8.80	28.22	  0	27193	4
100623155635	D	MS	 4.13	 8.15	27.69	  3	27231	4
100623155757	D	MS	 5.41	 8.22	26.90	  3	27275	4
100623160155	D	MS	 5.73	 8.96	29.59	  0	27200	4
100623160308	D	MS	 5.38	 8.98	29.96	  0	27275	4
